1	315.7744422981
2	320.6820331611
3	321.4344591341
4	330.3479268800
5	337.5005532062
6	347.8170847250
7	367.2828983673
8	371.1037310009
9	373.8042577759
10	378.9057515977
11	384.4593608430
12	390.8267216935
13	392.1788586061
14	394.8808906184
15	396.1050448029
16	396.6786279367
17	398.1024823587
18	399.1626534164
19	399.3317945157
20	399.6220347869
21	399.7329436731
22	401.2749386029
23	401.3785462162
24	401.3868522224
25	401.4032752166
26	401.4582282925
27	401.4862738270
28	401.8058635672
29	401.8110302397
30	402.1337581265
31	402.1436729718
32	402.1565775663
33	402.2125462798
34	402.2268916399
35	402.6070242033
36	402.7634424755
37	402.9279334687
38	403.0075289131
39	403.0108008418
40	403.0611744858
