1	285.3374765459
2	288.4614462944
3	346.7568503606
4	364.9689117331
5	378.5849591623
6	385.0211669481
7	388.4083271919
8	395.6154549265
9	395.9209608652
10	396.6994071088
11	398.1793816903
12	398.9109868453
13	398.7418547208
14	398.8116793697
15	399.3604349643
16	399.4307652474
17	399.4703219545
18	399.4288705429
19	399.4049882347
20	399.4219135592
21	399.6445871803
22	399.5521405098
23	399.6532836342
24	399.5481969448
25	399.5530655562
26	399.5392799443
27	400.0193662378
28	399.9610533305
29	399.9659475188
30	399.8476875786
31	399.7907014844
32	400.0356903278
33	399.8059390237
34	400.0302123204
35	400.2645813647
36	400.2424948446
37	400.2156925597
38	400.2413518329
39	400.3137393413
40	400.2228146171
