1	0.0856455576
2	0.0926322541
3	0.0487979187
4	0.0429343575
5	0.0667685242
6	0.0552950045
7	0.0795376850
8	0.0361339431
9	0.0847622043
10	0.0761832536
11	0.0513398311
12	0.0496746149
13	0.0659396995
14	0.0656460560
15	0.0569038410
16	0.0499571579
17	0.0446331525
18	0.0391159919
19	0.0642664202
20	0.0512994188
21	0.0700307373
22	0.0481389690
23	0.0588014897
24	0.0425480633
25	0.0415586130
26	0.0442313648
27	0.0507511173
28	0.0466969235
29	0.0593520385
30	0.0371828774
31	0.0525223546
32	0.0563594362
33	0.0595363972
34	0.0877638239
35	0.0444606614
36	0.0604879823
37	0.0511345182
38	0.0561450187
39	0.0675079294
40	0.0603698595
