1	118.7718242409	2.0747134269
2	164.5891030506	2.2164010785
3	125.3050098374	2.0979684349
4	95.0761716436	1.9780716860
5	89.2626676613	1.9506698618
6	66.4703584384	1.8226280207
7	84.4117711227	1.9264030127
8	67.1874126825	1.8272879172
9	35.1408575152	1.5458123550
10	27.6639522969	1.4419142270
11	25.9147746543	1.4135474367
12	25.3184004100	1.4034362639
13	19.2870773335	1.2852664218
14	19.6971030879	1.2944023579
15	19.8037223107	1.2967468280
16	15.4101693918	1.1878074126
17	15.5691018528	1.1922635598
18	3.5261592391	0.5473019209
19	5.2235639405	0.7179669152
20	4.5402071515	0.6570756684
21	3.0648218767	0.4864052390
22	2.1464211213	0.3317149333
23	2.0063202254	0.3024002512
24	1.5061547327	0.1778695908
25	1.2732787911	0.1049235051
26	1.2249831044	0.0881300987
27	1.1025406941	0.0423946280
28	0.9772728144	-0.0099841822
29	0.9568044872	-0.0191767966
30	0.5257852776	-0.2791915787
31	0.5995903223	-0.2221453855
32	0.4390085451	-0.3575270264
33	0.4835532425	-0.3155557002
34	0.4152198094	-0.3817219353
35	0.4536430031	-0.3432857832
36	0.6796354533	-0.1677239742
37	0.6843080095	-0.1647483767
38	0.4175239550	-0.3793186023
39	0.4748782085	-0.3234177591
40	0.4761709255	-0.3222371257
